name_hebrew,rate_percent,ceiling,deduction
גבעולים,14,180000,25200
גבעות בר,7,146640,10265
גבעת יואב,7,146640,10265
גברעם,20,267840,53568
גדות,7,146640,10265
גונן,7,146640,10265
גורן,12,213240,25589
גורנות הגליל,12,213240,25589
גילון,7,146640,10265
גילת,7,146640,10265
גינוסר,7,146640,10265
גיתה,7,146640,10265
געתון,10,180000,18000
גרופי ת,12,213240,25589
גשור,7,146640,10265
גשר,12,213240,25589
גשר הזיו,10,180000,18000
דביר,7,146640,10265
דגניה א',12,213240,25589
דגניה ב',12,213240,25589
"דוב""ב",14,219960,30794
דורו ת,20,267840,53568
דייר אל-אסד,12,186000,22320
דייר חנ א,12,186000,22320
דימונה,18,245400,44172
דישון,14,219960,30794
דלתון,12,213240,25589
דן,12,213240,25589
דפנה,14,219960,30794
דקל,20,267840,53568
דריג'את,12,213240,25589
האון,12,213240,25589
הגושרים,12,213240,25589
הילה,12,213240,25589
הר עמשא,7,146640,10265
הררית,7,146640,10265
זיקים,20,267840,53568
זמרת,20,267840,53568
זרועה,14,180000,25200
חג י,7,146640,10265
חד-נס,7,146640,10265
חולית,20,267840,53568
חולתה,7,146640,10265
חוסן,12,213240,25589
חוסנייה,12,213240,25589
חוקו ק,7,146640,10265
חורה,18,259920,46786
חורפי ש,14,259920,36389
חזון,10,180000,18000
חלוץ,7,146640,10265
חלץ,7,146640,10265
חמדיה,12,213240,25589
חמדת,12,213240,25589
חניתה,14,219960,30794
חספין,12,213240,25589
חצבה,12,213240,25589
חצור הגלילי ת,12,213240,25589
חצרים,7,146640,10265
חרשים,7,146640,10265
טבריה,12,213240,25589
טובא-זנגרייה,12,213240,25589
טירת צב י,12,213240,25589
טל-אל,7,146640,10265
טללים,7,146640,10265
טמרה,12,186000,22320
טנא,7,146640,10265
טפחו ת,10,180000,18000
יאנוח-ג'ת,12,186000,22320
יבול,20,267840,53568
יד מרדכ י,20,267840,53568
יהל,12,213240,25589
יובל,14,219960,30794
יובלים,7,146640,10265
יונדב,7,146640,10265
יונתן,12,213240,25589
יושיביה,14,213240,29854
יחיעם,7,146640,10265
יטבתה,12,213240,25589
יכינ י,20,267840,53568
יסוד המעלה,12,213240,25589
יסעור,7,146640,10265
יע ד,7,146640,10265
יערה,14,219960,30794
יפי ת,12,213240,25589
יפת ח,14,219960,30794
יראון,14,219960,30794
ירדנה,12,213240,25589
ירוחם,18,245400,44172
ירכא,12,213240,25589
ישע,20,267840,53568
יתד,20,267840,53568
כאבול,12,186000,22320
כברי,10,180000,18000
כדיתה,12,213240,25589
כורזים,7,146640,10265
כחל,7,146640,10265
כחלה,12,213240,25589
כיסופים,20,267840,53568
כישור,7,146640,10265
כליל,7,146640,10265
כלנית,10,180000,18000
כמאנה,12,213240,25589
כמהין,12,213240,25589
כמון,7,146640,10265
כנף,7,146640,10265
כנרת (מושבה),12,213240,25589
כנרת (קבוצה),12,213240,25589
כסיפה,18,259920,46786
כסרא-סמיע,14,259920,36389
כפר בלום,12,213240,25589
כפר גלעד י,12,213240,25589
כפר הנשיא,7,146640,10265
כפר חושן,12,213240,25589
כפר חנניה,10,180000,18000
כפר חרו ב,12,213240,25589
כפר יאסיף,7,146640,10265
כפר מימון,20,267840,53568
כפר מסריק,7,146640,10265
כפר סאלד,12,213240,25589
כפר עזה,20,267840,53568
כפר ראש הנקרה,14,219960,30794
כפר רופין,12,213240,25589
כפר שמאי,10,180000,18000
כרכום,7,146640,10265
כרם בן זמרה,12,213240,25589
כרם שלום,20,267840,53568
כרמי קטיף,7,146640,10265
כרמיאל,7,146640,10265
כרמייה,20,267840,53568
כרמים,7,146640,10265
כרמל,7,146640,10265
לבון,7,146640,10265
לבנים,10,180000,18000
להב,7,146640,10265
להבות הבשן,7,146640,10265
לוחמי הגיטאו ת,7,146640,10265
לוטם,7,146640,10265
לוטן,12,213240,25589
לימן,10,180000,18000
לפידו ת,7,146640,10265
לקיה,18,259920,46786
מבוא חמה,12,213240,25589
מבועים,7,146640,10265
מבטחים,20,267840,53568
מבקיעים,20,267840,53568
מג'ד אל-כרום,12,186000,22320
מג'דל שמס,20,259920,51984
מגאר,12,213240,25589
מגדל,10,180000,18000
מגן,20,267840,53568
מדרשת בן גוריון,7,146640,10265
מולדה,12,213240,25589
מורן,7,146640,10265
מזרעה,12,186000,22320
מחולה,12,213240,25589
מחנה טלי,7,146640,10265
מחנה יוכבד,10,180000,18000
מחנה יפה,7,146640,10265
מחנה יתיר,7,146640,10265
מחניים,7,146640,10265
מטולה,14,219960,30794
מיצר,12,213240,25589
מירון,12,213240,25589
מכחול,12,213240,25589
מכמנים,7,146640,10265
מלילות,14,180000,25200
מלכייה,14,219960,30794
מנוף,7,146640,10265
מנות,12,213240,25589
מנחמיה,12,213240,25589
מנרה,14,219960,30794
מסדה,12,213240,25589
מסלול,14,180000,25200
מסעדה,14,259920,36389
מעגלים,14,180000,25200
מעגן,12,213240,25589
מעוז חיים,12,213240,25589
מעון,12,213240,25589
מעונה,12,213240,25589
מעיין ברוך,14,219960,30794
מעיליא,10,180000,18000
מעלה גמלא,7,146640,10265
מעלות-תרשיחא,14,259920,36389
מפלסים,20,267840,53568
מצדות יהוד ה,10,180000,18000
מצובה,10,180000,18000
מצפה רמון,18,259920,46786
מצפה שלם,7,146640,10265
מרגליות,14,219960,30794
מרום גולן,12,213240,25589
מרחב עם,10,180000,18000
משאבי שדה,7,146640,10265
משגב עם,14,219960,30794
משואה,12,213240,25589
משכיות,12,213240,25589
משמר הירדן,7,146640,10265
משמר הנגב,7,146640,10265
מתת,14,219960,30794
נאות גולן,7,146640,10265
נאות הכיכר,12,213240,25589
נאות מרדכי,12,213240,25589
נאות סמדר,12,213240,25589
נבטים,7,146640,10265
נגוהות,7,146640,10265
נהרייה,12,226560,27187
נוב,12,213240,25589
נווה,20,267840,53568
נווה או ר,12,213240,25589
"נווה אטי""ב",12,213240,25589
נווה איתן,12,213240,25589
נווה זוהר,7,146640,10265
נווה זי ו,12,213240,25589
נווה חריף,12,213240,25589
נועם,7,146640,10265
נוף הגליל,12,226560,27187
נחל עוז,20,267840,53568
נחף,12,213240,25589
נטועה,14,219960,30794
נטור,12,213240,25589
נטע,7,146640,10265
ניצנה (קהילת חינוך),12,213240,25589
ניצני סינ י,12,213240,25589
ניר יצח ק,20,267840,53568
ניר משה,7,146640,10265
ניר עו ז,20,267840,53568
ניר עם,20,267840,53568
ניר עקיבא,7,146640,10265
נירים,20,267840,53568
נמרוד,12,213240,25589
נס עמים,7,146640,10265
"נעמ""ה",12,213240,25589
נתיב העשרה,20,267840,53568
נתיב השיירה,7,146640,10265
נתיבות,16,226560,36250
סאג'ור,12,186000,22320
סאסא,12,213240,25589
סוסיה,10,180000,18000
סופה,20,267840,53568
סח'נין,12,186000,22320
סלמה,12,213240,25589
סמר,12,213240,25589
סנסנה,7,146640,10265
סעד,20,267840,53568
סער,10,180000,18000
ספיר,12,213240,25589
ע'ג'ר,20,259920,51984
עבדון,12,213240,25589
עברון,10,180000,18000
עזוז,12,213240,25589
עידן,12,213240,25589
עין אל-אסד,12,213240,25589
עין ג ב,7,146640,10265
עין גד י,7,146640,10265
עין הבשו ר,20,267840,53568
עין המפרץ,7,146640,10265
"עין הנצי""ב",12,213240,25589
עין השלושה,20,267840,53568
עין זיוון,12,213240,25589
עין חצב ה,12,213240,25589
עין יה ב,12,213240,25589
עין יעק ב,12,213240,25589
עין קניי א,14,259920,36389
עין תמ ר,12,213240,25589
עיר אובו ת,7,146640,10265
עכו,12,226560,27187
עלומים,20,267840,53568
עלמה,12,213240,25589
עמוקה,10,180000,18000
עמיע ד,7,146640,10265
עמיעוז,20,267840,53568
עמיר,12,213240,25589
עמקה,7,146640,10265
עצמון שגב,7,146640,10265
עראבה,12,213240,25589
עראמשה,14,219960,30794
ערב אל נעים,12,213240,25589
ערד,18,259920,46786
ערערה-בנגב,18,259920,46786
עשהאל,7,146640,10265
עתניאל,10,180000,18000
פארן,12,213240,25589
פדויים,14,180000,25200
פורייה - כפר עבוד ה,7,146640,10265
פורייה - נווה עוב ד,7,146640,10265
פורייה עילי ת,7,146640,10265
פטי ש,14,180000,25200
פלך,7,146640,10265
פני חב ר,12,213240,25589
פסוטה,12,213240,25589
"פעמי תש""ז",7,146640,10265
פצאל,12,213240,25589
פקיעין (בוקייעה ),14,259920,36389
פקיעין חדשה,12,213240,25589
פרו ד,10,180000,18000
פרי גן,20,267840,53568
צאלים,14,213240,29854
צביה,7,146640,10265
צבעון,12,213240,25589
צוח ר,20,267840,53568
צופ ר,12,213240,25589
צוקים,12,213240,25589
צוריאל,12,213240,25589
צורי ת,7,146640,10265
צפת,12,213240,25589
קדם ערבה,10,180000,18000
קדמת צבי,7,146640,10265
קדרים,7,146640,10265
קורנית,7,146640,10265
קטורה,12,213240,25589
קלחים,7,146640,10265
קליה,10,180000,18000
קלע,7,146640,10265
קצר א-סר,12,213240,25589
קצרין,10,180000,18000
קריית ארבע,12,213240,25589
קריית שמונה,20,259920,51984
קשת,12,213240,25589
ראמה,7,146640,10265
ראס אל-עין,12,213240,25589
ראש פינה,7,146640,10265
רביבים,10,180000,18000
רביד,10,180000,18000
רגבה,7,146640,10265
רהט,16,226560,36250
רוח מדב ר,7,146640,10265
רוחמה,14,180000,25200
רוע י,12,213240,25589
רותם,12,213240,25589
רחוב,12,213240,25589
ריחאנייה,12,213240,25589
רמות,7,146640,10265
רמות נפתלי,12,213240,25589
רמת טראמפ,7,146640,10265
רמת מגשימים,12,213240,25589
רנן,7,146640,10265
רעים,20,267840,53568
רקפת,7,146640,10265
רתמים,7,146640,10265
שאר ישוב,12,213240,25589
שבי דרום,7,146640,10265
שבי ציון,7,146640,10265
שגב-שלום,18,259920,46786
שדה אליהו,12,213240,25589
שדה אליעזר,12,213240,25589
שדה בוקר,7,146640,10265
שדה דוד,7,146640,10265
שדה נחום,12,213240,25589
שדה נחמיה,12,213240,25589
שדה ניצן,20,267840,53568
שדה צבי,7,146640,10265
שדי אברהם,20,267840,53568
שדי תרומות,12,213240,25589
שדמות מחולה,12,213240,25589
שדרות,20,267840,53568
שובה,20,267840,53568
שובל,7,146640,10265
שומרה,14,219960,30794
שומרייה,12,213240,25589
שוקדה,20,267840,53568
שורשים,7,146640,10265
שזור,10,180000,18000
שחרות,10,180000,18000
שיבולים,14,180000,25200
שיזף,7,146640,10265
שיטים,10,180000,18000
שייח' דנון,12,213240,25589
שכניה,7,146640,10265
שלווה,7,146640,10265
שלווה במדבר,7,146640,10265
שלומי,20,259920,51984
שלומית,20,267840,53568
שמיר,12,213240,25589
שמעה,10,180000,18000
שמרת,7,146640,10265
שני (ליבנה),7,146640,10265
שניר,12,213240,25589
שעב,12,213240,25589
שעל,7,146640,10265
שער הגולן,12,213240,25589
שפר,10,180000,18000
שקף,7,146640,10265
שרשרת,14,180000,25200
שתולה,14,219960,30794
תאשור,7,146640,10265
תדהר,7,146640,10265
תובל,7,146640,10265
תושייה,20,267840,53568
תל קציר,12,213240,25589
תל שבע,18,259920,46786
תל תאומים,12,213240,25589
תלם,7,146640,10265
תלמי אליהו,20,267840,53568
"תלמי ביל""ו",7,146640,10265
תלמי יוסף,20,267840,53568
תלמים,7,146640,10265
תפרח,12,213240,25589
תקומה,20,267840,53568
