name_hebrew,rate_percent,ceiling,deduction,lat,lon
חוסן,12,213240,25589,32.998197222222,35.297497222222
חוסנייה,12,213240,25589,32.900688888889,35.322547222222
חוקו ק,7,146640,10265,32.879897222222,35.4958
חורה,18,259920,46786,31.294166666667,34.931111111111
חורפי ש,14,259920,36389,33.017777777778,35.346111111111
חזון,10,180000,18000,32.9061,35.3937
חלוץ,7,146640,10265,32.950674,35.3121922
חלץ,7,146640,10265,31.578097222222,34.658
חמדיה,12,213240,25589,32.5202,35.519797222222
חמדת,12,213240,25589,32.9488949,35.4245296
חניתה,14,219960,30794,33.0876,35.173497222222
חספין,12,213240,25589,32.7929,35.7303
חצבה,12,213240,25589,30.7677,35.2802
חצור הגלילי ת,12,213240,25589,32.979472222222,35.543475
חצרים,7,146640,10265,31.240277777778,34.713888888889
חרשים,7,146640,10265,32.9564,35.3282
טבריה,12,213240,25589,32.789722222222,35.524722222222
טובא-זנגרייה,12,213240,25589,32.9663767,35.5938241
טירת צב י,12,213240,25589,32.421944444444,35.528333333333
טל-אל,7,146640,10265,32.926997222222,35.1792
טללים,7,146640,10265,30.9921,34.771997222222
טמרה,12,186000,22320,32.851147222222,35.207108333333
טנא,7,146640,10265,31.4033,34.9322
טפחו ת,10,180000,18000,32.8691,35.422497222222
יאנוח-ג'ת,12,186000,22320,32.9819,35.2499
יבול,20,267840,53568,31.189197222222,34.319297222222
יד מרדכ י,20,267840,53568,31.588611111111,34.558333333333
יהל,12,213240,25589,30.084097222222,35.1291
יובל,14,219960,30794,33.246697222222,35.598197222222
יובלים,7,146640,10265,32.8778,35.272
יונדב,7,146640,10265,31.385527777778,35.00375
יונתן,12,213240,25589,32.9363,35.794497222222
יושיביה,14,213240,29854,31.4431,34.6101
יחיעם,7,146640,10265,32.995697222222,35.2205
יטבתה,12,213240,25589,29.895555555556,35.06
יכינ י,20,267840,53568,31.483333333333,34.6
יסוד המעלה,12,213240,25589,33.056111111111,35.604166666667
יסעור,7,146640,10265,32.9005,35.1662
יע ד,7,146640,10265,32.878883333333,35.242575
יערה,14,219960,30794,33.067,35.1848
יפי ת,12,213240,25589,32.061483333333,35.474080555556
יפת ח,14,219960,30794,33.127697222222,35.551697222222
יראון,14,219960,30794,33.076997222222,35.4549
ירדנה,12,213240,25589,32.566697222222,35.5638
ירוחם,18,245400,44172,30.988888888889,34.933888888889
ירכא,12,213240,25589,32.933333333333,35.183333333333
ישע,20,267840,53568,31.2467,34.400197222222
יתד,20,267840,53568,31.206197222222,34.326797222222
כאבול,12,186000,22320,32.868333333333,35.211388888889
כברי,10,180000,18000,33.020897222222,35.149
כדיתה,12,213240,25589,33.0058,35.4683
כורזים,7,146640,10265,32.910297222222,35.550697222222
כחל,7,146640,10265,32.8918,35.509597222222
כחלה,12,213240,25589,31.2152,34.9449
כיסופים,20,267840,53568,31.374166666667,34.399444444444
כישור,7,146640,10265,32.947619444444,35.249888888889
כליל,7,146640,10265,32.9823,35.197097222222
כלנית,10,180000,18000,32.873947222222,35.455091666667
כמאנה,12,213240,25589,32.911038888889,35.338697222222
כמהין,12,213240,25589,30.9,34.416666666667
כמון,7,146640,10265,32.911,35.3607
כנף,7,146640,10265,32.8700272,35.6982707
כנרת (מושבה),12,213240,25589,32.72249722,35.5643
כנרת (קבוצה),12,213240,25589,32.72249722,35.5643
כסיפה,18,259920,46786,31.2452491,35.0951505
כסרא-סמיע,14,259920,36389,32.963827777778,35.302308333333
כפר בלום,12,213240,25589,33.172222222222,35.609722222222
כפר גלעד י,12,213240,25589,33.2425,35.575
כפר הנשיא,7,146640,10265,32.975,35.603888888889
כפר חושן,12,213240,25589,33.012330555556,35.441488888889
כפר חנניה,10,180000,18000,32.9157,35.4226
כפר חרו ב,12,213240,25589,32.7625813,35.6628467
כפר יאסיף,7,146640,10265,32.954722222222,35.165277777778
כפר מימון,20,267840,53568,31.431897222222,34.536297222222
כפר מסריק,7,146640,10265,32.890797222222,35.099697222222
כפר סאלד,12,213240,25589,33.195277777778,35.6575
כפר עזה,20,267840,53568,31.483697222222,34.533997222222
כפר ראש הנקרה,14,219960,30794,33.0788,35.1043
כפר רופין,12,213240,25589,32.4575,35.555833333333
כפר שמאי,10,180000,18000,32.9568,35.457005555556
כרכום,7,146640,10265,32.9305,35.6081
כרם בן זמרה,12,213240,25589,33.0382,35.4686
כרם שלום,20,267840,53568,31.227697222222,34.284597222222
כרמי קטיף,7,146640,10265,31.537833333333,34.911944444444
כרמיאל,7,146640,10265,32.9,35.283333333333
כרמייה,20,267840,53568,32.8827,35.6747
כרמים,7,146640,10265,31.3336,34.9185
כרמל,7,146640,10265,31.5374,35.0993
לבון,7,146640,10265,32.941497222222,35.287397222222
לבנים,10,180000,18000,32.0771293,34.8226476
להב,7,146640,10265,31.378297222222,34.870397222222
להבות הבשן,7,146640,10265,33.1415,35.646597222222
לוחמי הגיטאו ת,7,146640,10265,32.9723,35.0923
לוטם,7,146640,10265,32.882597222222,35.3573
לוטן,12,213240,25589,29.985497222222,35.088297222222
לימן,10,180000,18000,33.058997222222,35.1129
לפידו ת,7,146640,10265,32.959338888889,35.261669444444
לקיה,18,259920,46786,31.326388888889,34.858333333333
מבוא חמה,12,213240,25589,32.7363463,35.6556132
מבועים,7,146640,10265,31.4492,34.6535
מבטחים,20,267840,53568,31.2422,34.407897222222
מבקיעים,20,267840,53568,31.6216,34.578
מג'ד אל-כרום,12,186000,22320,32.9220089,35.256722
מג'דל שמס,20,259920,51984,33.2677595,35.7690612
מגאר,12,213240,25589,32.8858202,35.4062022
מגדל,10,180000,18000,32.839077777778,35.499294444444
מגן,20,267840,53568,31.299722222222,34.426388888889
מדרשת בן גוריון,7,146640,10265,30.8515927,34.7825759
מולדה,12,213240,25589,31.2582313,34.9824198
מורן,7,146640,10265,32.9194,35.395497222222
מזרעה,12,186000,22320,32.983333333333,35.098333333333
מחולה,12,213240,25589,32.2025,35.566
מחנה טלי,7,146640,10265,32.7867,35.5534
מחנה יוכבד,10,180000,18000,32.4751,34.9533
מחנה יפה,7,146640,10265,32.6631,35.1089
מחנה יתיר,7,146640,10265,31.3584,35.0344
מחניים,7,146640,10265,32.9893,35.5703
מטולה,14,219960,30794,33.278888888889,35.576666666667
מיצר,12,213240,25589,32.7686851,35.7369807
מירון,12,213240,25589,32.983333333333,35.441666666667
מכחול,12,213240,25589,31.288611111111,35.075833333333
מכמנים,7,146640,10265,32.905833333333,35.327222222222
מלילות,14,180000,25200,31.388997222222,34.594797222222
מלכייה,14,219960,30794,33.0182,35.4072
מנוף,7,146640,10265,32.852497222222,35.2394
מנות,12,213240,25589,33.038697222222,35.195397222222
מנחמיה,12,213240,25589,32.6677,35.554
מנרה,14,219960,30794,33.195833333333,35.544444444444
מסדה,12,213240,25589,32.68339722,35.5985
מסלול,14,180000,25200,31.3243,34.5884
מסעדה,14,259920,36389,33.233055555556,35.740833333333
מעגלים,14,180000,25200,31.396697222222,34.598797222222
מעגן,12,213240,25589,32.706297222222,35.599897222222
מעוז חיים,12,213240,25589,32.493038888889,35.550641666667
מעון,12,213240,25589,31.3924,35.013
מעונה,12,213240,25589,33.017497222222,35.258497222222
מעיין ברוך,14,219960,30794,33.2411,35.6088
מעיליא,10,180000,18000,33.025158333333,35.259558333333
מעלה גמלא,7,146640,10265,32.8899257,35.684851
מעלות-תרשיחא,14,259920,36389,33.016666666667,35.270833333333
מפלסים,20,267840,53568,31.501897222222,34.564397222222
מצדות יהוד ה,10,180000,18000,31.3946,34.8984
מצובה,10,180000,18000,33.063297222222,35.1582
מצפה רמון,18,259920,46786,30.612777777778,34.801666666667
מצפה שלם,7,146640,10265,31.5772,35.4388
מרגליות,14,219960,30794,33.2148047,35.5444859
מרום גולן,12,213240,25589,33.1321192,35.7773161
מרחב עם,10,180000,18000,30.887283333333,34.828763888889
משאבי שדה,7,146640,10265,31.003797222222,34.7882
משגב עם,14,219960,30794,33.247777777778,35.548333333333
משואה,12,213240,25589,32.2548,35.5229
משכיות,12,213240,25589,33.0621,35.2706
משמר הירדן,7,146640,10265,33.005,35.5989
משמר הנגב,7,146640,10265,31.364444444444,34.718888888889
מתת,14,219960,30794,33.040408333333,35.354847222222
נאות גולן,7,146640,10265,32.7867059,35.6929699
נאות הכיכר,12,213240,25589,30.933097222222,35.376697222222
נאות מרדכי,12,213240,25589,33.159936111111,35.596688888889
נאות סמדר,12,213240,25589,30.0483,35.025397222222
נבטים,7,146640,10265,31.223611111111,34.882777777778
נגוהות,7,146640,10265,31.3743,35.0099
נהרייה,12,226560,27187,33.0148724,35.1016842
נוב,12,213240,25589,32.832269,35.7831891
נווה,20,267840,53568,31.161978,34.329889
נווה או ר,12,213240,25589,32.59,35.552777777778
"נווה אטי""ב",12,213240,25589,33.2619578,35.7407856
נווה איתן,12,213240,25589,32.491130555556,35.531072222222
נווה זוהר,7,146640,10265,31.152091666667,35.365161111111
נווה זי ו,12,213240,25589,33.027,35.1846
נווה חריף,12,213240,25589,30.0365,35.038697222222
נועם,7,146640,10265,31.567238888889,34.7889
נוף הגליל,12,226560,27187,32.716666666667,35.333333333333
נחל עוז,20,267840,53568,31.4725,34.4978
נחף,12,213240,25589,32.931944444444,35.3175
נטועה,14,219960,30794,33.064788888889,35.322769444444
נטור,12,213240,25589,32.8538055,35.7514617
נטע,7,146640,10265,31.478329,34.926518
ניצנה (קהילת חינוך),12,213240,25589,30.885983333333,34.422569444444
ניצני סינ י,12,213240,25589,30.903652777778,34.396519444444
ניר יצח ק,20,267840,53568,31.2373,34.3571
ניר משה,7,146640,10265,31.477697222222,34.631197222222
ניר עו ז,20,267840,53568,31.310197222222,34.402097222222
ניר עם,20,267840,53568,31.5194,34.580897222222
ניר עקיבא,7,146640,10265,31.469897222222,34.6467
נירים,20,267840,53568,31.335,34.395833333333
נמרוד,12,213240,25589,33.2452094,35.7510271
נס עמים,7,146640,10265,32.966666666667,35.116666666667
"נעמ""ה",12,213240,25589,33.0291,35.7433
נתיב העשרה,20,267840,53568,31.5709,34.5394
נתיב השיירה,7,146640,10265,32.9947,35.1368
נתיבות,16,226560,36250,31.416666666667,34.583333333333
סאג'ור,12,186000,22320,32.9420108,35.3447234
סאסא,12,213240,25589,33.026897222222,35.3945
סוסיה,10,180000,18000,31.4117,35.1211
סופה,20,267840,53568,31.2373,34.3414
סח'נין,12,186000,22320,32.866666666667,35.3
סלמה,12,213240,25589,32.8936503,35.3699046
סמר,12,213240,25589,29.8332,35.0219
סנסנה,7,146640,10265,31.344498,34.901256
סעד,20,267840,53568,31.4704,34.5349
סער,10,180000,18000,33.0285,35.1096
ספיר,12,213240,25589,30.6139,35.1843
ע'ג'ר,20,259920,51984,33.2421,35.6174
עבדון,12,213240,25589,33.048297222222,35.1805
עברון,10,180000,18000,32.991388888889,35.100277777778
עזוז,12,213240,25589,30.791763888889,34.472522222222
עידן,12,213240,25589,30.80555556,35.30027778
עין אל-אסד,12,213240,25589,32.941169444444,35.396388888889
עין ג ב,7,146640,10265,32.782763888889,35.639647222222
עין גד י,7,146640,10265,31.466666666667,35.394444444444
עין הבשו ר,20,267840,53568,31.282197222222,34.4502
עין המפרץ,7,146640,10265,32.902597222222,35.096297222222
"עין הנצי""ב",12,213240,25589,32.470197222222,35.5024
עין השלושה,20,267840,53568,31.3503,34.402597222222
עין זיוון,12,213240,25589,33.0962822,35.7961971
עין חצב ה,12,213240,25589,30.798055555556,35.246666666667
עין יה ב,12,213240,25589,30.6585,35.2368
עין יעק ב,12,213240,25589,33.010197222222,35.229197222222
עין קניי א,14,259920,36389,33.23694444,35.73083333
עין תמ ר,12,213240,25589,30.942,35.371897222222
עיר אובו ת,7,146640,10265,30.8088,35.2458
עכו,12,226560,27187,32.926111111111,35.083888888889
עלומים,20,267840,53568,31.451597222222,34.513597222222
עלמה,12,213240,25589,33.0512,35.499897222222
עמוקה,10,180000,18000,32.997719444444,35.523838888889
עמיע ד,7,146640,10265,32.928247222222,35.5407
עמיעוז,20,267840,53568,31.2484,34.4142
עמיר,12,213240,25589,33.178333333333,35.620555555556
עמקה,7,146640,10265,32.979444444444,35.163333333333
עצמון שגב,7,146640,10265,32.8659821,35.2512054
עראבה,12,213240,25589,32.851111111111,35.338611111111
עראמשה,14,219960,30794,33.0886072,35.2299769
ערב אל נעים,12,213240,25589,32.8677,35.3175
ערד,18,259920,46786,31.260277777778,35.214722222222
ערערה-בנגב,18,259920,46786,31.1551446,35.0226451
עשהאל,7,146640,10265,31.373722222222,35.043805555556
עתניאל,10,180000,18000,31.431,35.0702
פארן,12,213240,25589,30.363097222222,35.153597222222
פדויים,14,180000,25200,31.3273,34.611197222222
פורייה - כפר עבוד ה,7,146640,10265,32.6903,35.5534
פורייה - נווה עוב ד,7,146640,10265,32.6978,35.5551
פורייה עילי ת,7,146640,10265,32.7068,35.5572
פטי ש,14,180000,25200,31.326797222222,34.5602
פלך,7,146640,10265,32.933997222222,35.233697222222
פני חב ר,12,213240,25589,31.4244,35.1184
פסוטה,12,213240,25589,33.049444444444,35.305833333333
"פעמי תש""ז",7,146640,10265,31.4381567,34.6930068
פצאל,12,213240,25589,32.044,35.5072
פקיעין (בוקייעה ),14,259920,36389,32.9775,35.333333333333
פקיעין חדשה,12,213240,25589,32.977,35.3303
פרו ד,10,180000,18000,32.932297222222,35.433797222222
פרי גן,20,267840,53568,31.221097222222,34.3545
צאלים,14,213240,29854,31.2036,34.535097222222
צביה,7,146640,10265,32.8894552,35.3306239
צבעון,12,213240,25589,33.026097222222,35.4159
צוח ר,20,267840,53568,31.2356,34.426297222222
צופ ר,12,213240,25589,30.560633333333,35.181311111111
צוקים,12,213240,25589,30.490897222222,35.166697222222
צוריאל,12,213240,25589,33.0071,35.313058333333
צורי ת,7,146640,10265,32.901958333333,35.250641666667
צפת,12,213240,25589,32.965833333333,35.498333333333
קדם ערבה,10,180000,18000,30.6372,35.0503
קדמת צבי,7,146640,10265,33.0297367,35.6970294
קדרים,7,146640,10265,32.8984,35.474097222222
קורנית,7,146640,10265,32.8442,35.2522
קטורה,12,213240,25589,29.934166666667,35.070833333333
קלחים,7,146640,10265,31.446111111111,34.677777777778
קליה,10,180000,18000,31.7267,35.443
קלע,7,146640,10265,33.131592,35.6837517
קצר א-סר,12,213240,25589,32.7534,35.1821
קצרין,10,180000,18000,32.9903515,35.6865282
קריית ארבע,12,213240,25589,31.5303,35.119
קריית שמונה,20,259920,51984,33.2075,35.569722222222
קשת,12,213240,25589,32.980733,35.8085857
ראמה,7,146640,10265,32.93925,35.367113888889
ראס אל-עין,12,213240,25589,32.916861111111,35.372819444444
ראש פינה,7,146640,10265,32.969086111111,35.542455555556
רביבים,10,180000,18000,31.043613888889,34.721216666667
רביד,10,180000,18000,32.8506,35.462697222222
רגבה,7,146640,10265,32.976597222222,35.098997222222
רהט,16,226560,36250,31.3925,34.754444444444
רוח מדב ר,7,146640,10265,30.981666666667,34.733333333333
רוחמה,14,180000,25200,31.496677777778,34.705638888889
רוע י,12,213240,25589,32.1218,35.5534
רותם,12,213240,25589,32.37,35.53
רחוב,12,213240,25589,32.451,35.4884
ריחאנייה,12,213240,25589,33.0482032,35.4872846
רמות,7,146640,10265,32.8494,35.6675
רמות נפתלי,12,213240,25589,33.1017,35.5534
רמת טראמפ,7,146640,10265,33.1326099,35.6906265
רמת מגשימים,12,213240,25589,32.845997222222,35.808597222222
רנן,7,146640,10265,31.338,34.6011
רעים,20,267840,53568,31.386097222222,34.460297222222
רקפת,7,146640,10265,32.854597222222,35.2655
רתמים,7,146640,10265,31.053611111111,34.69
שאר ישוב,12,213240,25589,33.2263,35.646597222222
שבי דרום,7,146640,10265,31.465934,34.638659
שבי ציון,7,146640,10265,32.979597222222,35.0822
שגב-שלום,18,259920,46786,31.194398,34.8405813
שדה אליהו,12,213240,25589,32.440197222222,35.515
שדה אליעזר,12,213240,25589,33.0452,35.564
שדה בוקר,7,146640,10265,30.868889,34.7925
שדה דוד,7,146640,10265,31.576863888889,34.683869444444
שדה נחום,12,213240,25589,32.5253,35.481797222222
שדה נחמיה,12,213240,25589,33.186797222222,35.622397222222
שדה ניצן,20,267840,53568,31.229297222222,34.420097222222
שדה צבי,7,146640,10265,31.448797222222,34.7126
שדי אברהם,20,267840,53568,31.2127,34.3363
שדי תרומות,12,213240,25589,32.440197222222,35.485997222222
שדמות מחולה,12,213240,25589,32.1956,35.5693
שדרות,20,267840,53568,31.525,34.596944444444
שובה,20,267840,53568,31.4512,34.545
שובל,7,146640,10265,31.412777777778,34.742777777778
שומרה,14,219960,30794,33.082858333333,35.284238888889
שומרייה,12,213240,25589,31.6094,34.8314
שוקדה,20,267840,53568,31.4221,34.5245
שורשים,7,146640,10265,32.892344444444,35.257411111111
שזור,10,180000,18000,32.933197222222,35.3528
שחרות,10,180000,18000,29.904597222222,34.999697222222
שיבולים,14,180000,25200,31.3959,34.6077
שיזף,7,146640,10265,31.001666666667,34.765555555556
שיטים,10,180000,18000,30.17495894,35.01610932
שייח' דנון,12,213240,25589,32.9943175,35.1479211
שכניה,7,146640,10265,32.8479,35.247997222222
שלווה,7,146640,10265,31.563611111111,34.768055555556
שלווה במדבר,7,146640,10265,31.0863,35.2974
שלומי,20,259920,51984,33.083333333333,35.15
שלומית,20,267840,53568,31.169055555556,34.305361111111
שמיר,12,213240,25589,33.165397222222,35.660697222222
שמעה,10,180000,18000,31.5241,35.0738
שמרת,7,146640,10265,32.9512,35.095597222222
שני (ליבנה),7,146640,10265,31.3562772,35.0692807
שניר,12,213240,25589,33.2404,35.677797222222
שעב,12,213240,25589,32.888888888889,35.236944444444
שעל,7,146640,10265,33.1167,35.7184
שער הגולן,12,213240,25589,32.6865,35.603297222222
שפר,10,180000,18000,32.944,35.4361
שקף,7,146640,10265,31.515397222222,34.935997222222
שרשרת,14,180000,25200,31.404497222222,34.603297222222
שתולה,14,219960,30794,33.085538888889,35.313158333333
תאשור,7,146640,10265,31.3718709,34.6437068
תדהר,7,146640,10265,31.3793,34.629397222222
תובל,7,146640,10265,32.9288,35.245697222222
תושייה,20,267840,53568,31.4332368,34.5411813
תל קציר,12,213240,25589,32.7058,35.618
תל שבע,18,259920,46786,31.249166666667,34.859444444444
תל תאומים,12,213240,25589,32.4425,35.495497222222
תלם,7,146640,10265,31.4763,34.8579
תלמי אליהו,20,267840,53568,31.2316,34.4288
"תלמי ביל""ו",7,146640,10265,31.437997222222,34.6452
תלמי יוסף,20,267840,53568,31.200097222222,34.3641
תלמים,7,146640,10265,31.563125,34.669416666667
תפרח,12,213240,25589,31.326297222222,34.6768
תקומה,20,267840,53568,31.4512,34.545
